Zip,CurrentTemp,CurrentCondition,MorningTemp,AfternoonTemp,EveningTemp,OvernightTemp
38380,70,Cloudy,68,78,65,61
38381,73,Fair,69,79,66,62
38382,71,Partly Cloudy,69,80,66,62
38387,71,Mostly Cloudy,69,78,65,60
38388,72,Mostly Cloudy,69,78,65,61
38389,72,Sunny,69,80,66,62
38390,72,Mostly Cloudy,69,78,65,61
38391,73,Sunny,71,79,66,62
38392,74,Sunny,71,80,66,62
38393,70,Mostly Cloudy,67,80,66,61
38401,68,Cloudy,67,78,65,60
38402,68,Cloudy,67,78,65,60
38425,70,Cloudy,69,78,65,62
38449,71,Cloudy,70,76,64,61
38450,68,Cloudy,67,76,64,60
38451,67,Cloudy,66,77,64,59
38452,69,Cloudy,68,78,64,61
38453,71,Cloudy,69,77,65,62
38454,69,Cloudy,68,77,65,61
38455,72,Cloudy,70,78,65,61
38456,67,Cloudy,66,76,63,60
38457,69,Cloudy,67,77,64,61
38459,70,Cloudy,69,77,64,60
38460,68,Cloudy,67,77,63,60
38461,70,Cloudy,68,78,64,60
38462,68,Cloudy,68,76,63,60
38463,69,Cloudy,68,79,65,62
38464,67,Cloudy,66,77,64,61
38468,68,Cloudy,67,77,64,61
38469,69,Cloudy,67,77,64,61
38471,70,Cloudy,68,78,65,62
38472,67,Cloudy,66,77,64,59
38473,69,Cloudy,67,77,64,60
38474,69,Cloudy,68,78,65,60
38475,70,Cloudy,68,78,65,62
38476,69,Cloudy,68,77,65,60
38477,71,Cloudy,69,78,65,61
38478,69,Cloudy,68,78,64,60
38481,69,Cloudy,67,77,65,61
38482,68,Cloudy,66,76,64,59
38483,68,Cloudy,67,76,63,60
38485,69,Cloudy,68,77,64,60
38486,70,Cloudy,67,78,65,61
38487,69,Cloudy,67,78,65,60
38488,72,Cloudy,71,76,65,61
38501,71,Cloudy,69,73,64,62
38502,70,Mostly Cloudy,69,73,63,62
38503,70,Mostly Cloudy,69,73,63,62
38504,70,Partly Cloudy,68,72,64,61
38505,70,Cloudy,69,73,63,61
38506,70,Cloudy,69,73,64,62
38541,70,Mostly Cloudy,68,71,64,63
38542,72,Mostly Cloudy,70,74,66,64
38543,70,Mostly Cloudy,69,72,67,65
38544,71,Cloudy,69,73,63,61
38545,71,Cloudy,69,73,63,61
38547,72,Cloudy,69,75,65,61
38548,72,Cloudy,70,74,65,62
38549,73,Partly Cloudy,69,72,65,63
38550,73,Cloudy,71,76,65,62
38551,73,Mostly Cloudy,70,74,66,63
38552,71,Cloudy,70,73,64,61
38553,67,Cloudy,65,71,64,61
38554,67,Mostly Cloudy,66,71,63,61
38555,66,Cloudy,65,72,63,61
38556,69,Mostly Cloudy,66,71,63,61
38557,66,Cloudy,65,72,63,61
38558,66,Cloudy,64,72,64,61
38559,72,Cloudy,71,75,65,62
38560,73,Cloudy,69,75,66,62
38562,72,Cloudy,70,73,65,62
38563,72,Cloudy,69,75,65,61
38564,73,Cloudy,70,74,66,62
38565,71,Mostly Cloudy,67,74,64,61
38567,73,Cloudy,69,75,65,61
38568,71,Mostly Cloudy,69,72,65,62
38569,72,Cloudy,70,74,64,61
38570,71,Mostly Cloudy,68,73,64,63
38571,67,Cloudy,65,72,64,61
38572,67,Cloudy,65,72,63,61
38573,73,Partly Cloudy,69,73,66,63
38574,68,Mostly Cloudy,66,71,63,60
38575,72,Mostly Cloudy,68,72,65,62
38577,73,Partly Cloudy,69,73,65,62
38578,67,Cloudy,65,71,63,60
38579,72,Cloudy,71,76,65,62
38580,71,Mostly Cloudy,69,74,65,63
38581,72,Cloudy,71,76,65,62
38582,71,Cloudy,69,73,64,61
38583,72,Cloudy,71,76,64,62
38585,69,Cloudy,67,73,63,60
38587,72,Cloudy,71,76,65,62
38588,70,Cloudy,68,72,65,62
38589,68,Mostly Cloudy,66,71,64,61
